channel_type,horizon,channel,channel_label,channel_order,countries,min_country_windows,median_country_windows,max_country_windows,equal_country_median_positive_expansion_share,equal_country_median_net_growth_share,equal_country_median_positive_expansion,equal_country_median_product_count,equal_country_median_partner_count,summary_weighting
combined_partner_first,5,new_reporter_partner_new_product,New reporter partners with net-new harmonized HS6 product families,1,60,7,25.0,31,0.00027875788187838133,0.00020181679718451632,8535734.402366675,63.5,9.0,equal_country_after_within_country_median
combined_partner_first,5,new_reporter_partner_existing_product,New reporter partners with continuing harmonized HS6 product families,2,60,7,25.0,31,0.0020181011845295366,0.0027883013957840323,67795669.76922451,352.0,12.0,equal_country_after_within_country_median
combined_partner_first,5,existing_reporter_partner_new_product,Existing reporter partners with net-new harmonized HS6 product families,3,60,7,25.0,31,0.2598858014168941,0.3423369683518055,10435392554.454481,509.5,149.75,equal_country_after_within_country_median
combined_partner_first,5,existing_reporter_partner_existing_product,Existing reporter partners with continuing harmonized HS6 product families,4,60,7,25.0,31,0.648603071959917,0.7803359673951353,32259576058.917274,2008.5,156.5,equal_country_after_within_country_median
combined_partner_first,5,lost_reporter_partner,Lost reporter partners,5,60,7,25.0,31,2.2775502818260977e-05,-0.00041085352474736706,645370.5909718575,319.5,7.0,equal_country_after_within_country_median
combined_partner_first,5,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,7,25.0,31,0.006800855909778409,-0.12256293526088631,181351183.19511303,2021.0,198.0,equal_country_after_within_country_median
combined_partner_first,10,new_reporter_partner_new_product,New reporter partners with net-new harmonized HS6 product families,1,60,2,20.0,26,0.0012949906727943669,0.0024557127375815706,64301391.612090364,182.0,15.25,equal_country_after_within_country_median
combined_partner_first,10,new_reporter_partner_existing_product,New reporter partners with continuing harmonized HS6 product families,2,60,2,20.0,26,0.006088191376672131,0.01431695305406158,351025420.1269732,649.5,19.0,equal_country_after_within_country_median
combined_partner_first,10,existing_reporter_partner_new_product,Existing reporter partners with net-new harmonized HS6 product families,3,60,2,20.0,26,0.2859453482824583,0.3848698286044965,13813867989.220247,575.5,146.0,equal_country_after_within_country_median
combined_partner_first,10,existing_reporter_partner_existing_product,Existing reporter partners with continuing harmonized HS6 product families,4,60,2,20.0,26,0.6508237732705509,0.7242899766771782,46523051333.406685,1892.75,150.5,equal_country_after_within_country_median
combined_partner_first,10,lost_reporter_partner,Lost reporter partners,5,60,2,20.0,26,1.0829419159783191e-05,-0.004052420242894282,603044.5235931255,792.0,8.0,equal_country_after_within_country_median
combined_partner_first,10,reporter_partner_product_residual,Reporter-partner/product residual cells,6,60,2,20.0,26,0.004741187644463102,-0.13138530710474566,194273902.79039654,2046.5,197.0,equal_country_after_within_country_median
combined_product_first,5,net_new_product,Net-new harmonized HS6 product families,1,60,7,25.0,31,0.2685996648236829,0.3572626883066831,10506123195.97488,509.5,190.5,equal_country_after_within_country_median
combined_product_first,5,existing_product_to_new_product_specific_partner,Continuing harmonized HS6 product families to new product-specific partners,2,60,7,25.0,31,0.1298519329913863,0.22265373511063552,5709799891.347533,1432.5,144.0,equal_country_after_within_country_median
combined_product_first,5,existing_product_to_existing_product_specific_partner,Continuing harmonized HS6 product families to existing product-specific partners,3,60,7,25.0,31,0.4366877854025084,0.5980905147128016,24551175180.542946,1532.5,118.0,equal_country_after_within_country_median
combined_product_first,5,existing_product_lost_product_specific_partner,Continuing harmonized HS6 product families to lost product-specific partners,4,60,7,25.0,31,0.0014547739227351994,-0.09180024084745657,96561340.64969781,1301.5,132.75,equal_country_after_within_country_median
combined_product_first,5,existing_product_below_threshold_product_specific_partner_residual,Continuing harmonized HS6 product families below product-specific partner threshold,5,60,7,25.0,31,0.029181365619402877,0.013424687371652692,1402813568.7893605,1995.0,213.0,equal_country_after_within_country_median
combined_product_first,5,dying_product_cells,Dying harmonized HS6 product family cells,6,60,7,25.0,31,0.0007139710161474327,-0.17947942930621874,21485085.113092113,475.5,176.5,equal_country_after_within_country_median
combined_product_first,5,below_threshold_product_residual,Below-threshold product residual cells,7,60,7,25.0,31,0.004030194134330636,0.0019911534240678215,113484120.61187553,1268.0,129.0,equal_country_after_within_country_median
combined_product_first,10,net_new_product,Net-new harmonized HS6 product families,1,60,2,20.0,26,0.2946520929561128,0.4164518165674914,14350375461.2219,575.5,194.25,equal_country_after_within_country_median
combined_product_first,10,existing_product_to_new_product_specific_partner,Continuing harmonized HS6 product families to new product-specific partners,2,60,2,20.0,26,0.18307909200721986,0.301612181762156,11053039282.824093,1480.0,152.25,equal_country_after_within_country_median
combined_product_first,10,existing_product_to_existing_product_specific_partner,Continuing harmonized HS6 product families to existing product-specific partners,3,60,2,20.0,26,0.41520824026064435,0.5057724633575464,31368490612.982445,1357.25,106.5,equal_country_after_within_country_median
combined_product_first,10,existing_product_lost_product_specific_partner,Continuing harmonized HS6 product families to lost product-specific partners,4,60,2,20.0,26,0.0010564314708184563,-0.08556398784224849,99325364.30693305,1318.0,134.5,equal_country_after_within_country_median
combined_product_first,10,existing_product_below_threshold_product_specific_partner_residual,Continuing harmonized HS6 product families below product-specific partner threshold,5,60,2,20.0,26,0.02141628042938592,0.009053250466537939,1506126493.5110128,1892.0,215.25,equal_country_after_within_country_median
combined_product_first,10,dying_product_cells,Dying harmonized HS6 product family cells,6,60,2,20.0,26,0.0005460684488891565,-0.14103652178021991,22248917.656209674,481.25,169.5,equal_country_after_within_country_median
combined_product_first,10,below_threshold_product_residual,Below-threshold product residual cells,7,60,2,20.0,26,0.0026649155283221017,0.0005576254637961579,103143247.70067781,1267.0,130.25,equal_country_after_within_country_median
