identity_mode,horizon,category,category_label,category_order,country_year_pairs,countries,median_net_contribution,median_gross_positive_contribution,median_gross_contraction,median_net_growth_share,median_gross_positive_share,median_gross_contraction_share,mean_gross_positive_share,median_cell_count,median_product_count,median_partner_count
hs2,5,net_new_product,Net-new products,1,1605,60,0.0,0.0,0.0,0.0,0.0,0.0,0.011071789296143735,0.0,0.0,0.0
hs2,5,net_new_partner_existing_product,Net-new partners for existing products,2,1605,60,29909389.0,29909389.0,0.0,0.0028737822567092277,0.0028572738393568588,0.0,0.03373531342079376,82.0,41.0,15.0
hs2,5,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,1605,60,349836743.53400004,349836743.53400004,0.0,0.02363530330448494,0.02258347813324769,0.0,0.06786122731567833,1311.0,94.0,173.0
hs2,5,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,1605,60,22338864347.509,22338864347.509,0.0,1.1699766805981366,0.9497532313775392,0.0,0.8873316699673842,2696.0,93.0,160.0
hs2,5,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,1605,60,-7252326346.59,0.0,7252326346.59,-0.28546013028484407,0.0,1.0,0.0,3027.0,96.0,188.0
hs2,5,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,1605,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hs2,10,net_new_product,Net-new products,1,1308,60,0.0,0.0,0.0,0.0,0.0,0.0,0.009308232463913484,0.0,0.0,0.0
hs2,10,net_new_partner_existing_product,Net-new partners for existing products,2,1308,60,173593235.85750002,173593235.85750002,0.0,0.008744634595650867,0.0073080616119048985,0.0,0.04113662731997935,185.0,65.0,22.5
hs2,10,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,1308,60,709557820.3399999,709557820.3399999,0.0,0.02865100481023551,0.02384323656554271,0.0,0.08165673438109174,1660.0,94.0,171.0
hs2,10,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,1308,60,41594105089.643005,41594105089.643005,0.0,1.0846680708354328,0.9334450313946332,0.0,0.8678984058350154,2714.5,92.0,155.0
hs2,10,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,1308,60,-8300660518.52,0.0,8300660518.52,-0.21177413433439984,0.0,1.0,0.0,2670.5,96.0,185.0
hs2,10,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,1308,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hs4,5,net_new_product,Net-new products,1,1605,60,118193651.0,118193651.0,0.0,0.010030443235419231,0.007175437733059492,0.0,0.03515518373189225,237.0,50.0,60.0
hs4,5,net_new_partner_existing_product,Net-new partners for existing products,2,1605,60,28590708.0,28590708.0,0.0,0.0027361888384138523,0.00228414134663245,0.0,0.028719977119526428,148.0,108.0,15.0
hs4,5,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,1605,60,2136204097.0,2136204097.0,0.0,0.11320036706595851,0.08004526038456605,0.0,0.12559555066623426,9420.0,1056.0,179.0
hs4,5,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,1605,60,26378233789.0,26378233789.0,0.0,1.227913235098682,0.870085246066145,0.0,0.810529288482347,10185.0,956.0,153.0
hs4,5,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,1605,60,-12742197282.0,0.0,12742197282.0,-0.4594943630609832,0.0,1.0,0.0,15402.0,1115.0,190.0
hs4,5,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,1605,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hs4,10,net_new_product,Net-new products,1,1308,60,434561619.0,434561619.0,0.0,0.015887376428138596,0.011584305226002175,0.0,0.04579756607449797,412.0,61.0,89.0
hs4,10,net_new_partner_existing_product,Net-new partners for existing products,2,1308,60,169916087.5,169916087.5,0.0,0.008679215492096326,0.006421158298610612,0.0,0.03616061134062671,473.0,280.5,22.0
hs4,10,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,1308,60,4141074814.4245,4141074814.4245,0.0,0.14005655937525446,0.09483876227980606,0.0,0.14711676981488034,11742.0,1058.0,175.0
hs4,10,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,1308,60,46962303445.705,46962303445.705,0.0,1.0843922335004716,0.8452900716655616,0.0,0.770925052769995,10266.5,928.0,147.0
hs4,10,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,1308,60,-14215522281.967,0.0,14215522281.967,-0.34195873390670894,0.0,1.0,0.0,14170.5,1116.0,187.0
hs4,10,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,1308,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hs6_harmonized_family,5,net_new_product,Net-new products,1,1605,60,236207166.87651107,236207166.87651107,0.0,0.02156855386148012,0.014523617650780536,0.0,0.06279400832009335,970.0,321.0,83.0
hs6_harmonized_family,5,net_new_partner_existing_product,Net-new partners for existing products,2,1605,60,26322324.257,26322324.257,0.0,0.0025247855554219483,0.001995414411243661,0.0,0.025309213404208903,216.0,171.0,14.0
hs6_harmonized_family,5,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,1605,60,4167498371.030702,4167498371.030702,0.0,0.19075282529008367,0.12235819417660197,0.0,0.15770191397127883,27300.0,3662.0,180.0
hs6_harmonized_family,5,existing_product_partner_cell_growth,Growth in already-active product-partner cells,4,1605,60,28275715404.0,28275715404.0,0.0,1.235345170150227,0.815367083647166,0.0,0.754194864304419,18817.0,3067.0,150.0
hs6_harmonized_family,5,existing_product_partner_cell_contraction,Contraction in already-active product-partner cells,5,1605,60,-15748670600.477514,0.0,15748670600.477514,-0.5766360203052171,0.0,1.0,0.0,36034.0,4082.0,191.0
hs6_harmonized_family,5,existing_product_partner_cell_no_change,No change in already-active product-partner cells,6,1605,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hs6_harmonized_family,10,net_new_product,Net-new products,1,1308,60,741661891.19063,741661891.19063,0.0,0.03178806615112744,0.023509178007725264,0.0,0.08014832260645562,1703.5,382.5,105.0
hs6_harmonized_family,10,net_new_partner_existing_product,Net-new partners for existing products,2,1308,60,161391744.0227,161391744.0227,0.0,0.008116166081225847,0.00551370957048327,0.0,0.0328640835733896,832.5,566.0,22.0
hs6_harmonized_family,10,new_product_partner_cell_existing_product_partner,New product-partner cells for existing products and partners,3,1308,60,7898335393.019382,7898335393.019382,0.0,0.229266453716146,0.1475073843941223,0.0,0.18359895278723332,35482.0,3662.5,176.0
